epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,4,,0.625,,0.9392991662025452,,
0,7,,,,,0.8620689511299133,0.8793267011642456
0,7,0.5575221180915833,,1.0006372928619385,,,
1,9,,0.9375,,0.8173933029174805,,
1,14,,1.0,,0.6691655516624451,,
1,15,,,,,0.9655172228813171,0.6879171133041382
1,15,0.9380530714988708,,0.7696033120155334,,,
2,19,,1.0,,0.5277146697044373,,
2,23,,,,,1.0,0.5006685853004456
2,23,0.9646017551422119,,0.5643743276596069,,,
3,24,,0.9375,,0.449862003326416,,
3,29,,1.0,,0.3187946677207947,,
3,31,,,,,1.0,0.3463551700115204
3,31,0.9734513163566589,,0.3841153681278229,,,
4,34,,0.9375,,0.36187368631362915,,
4,39,,1.0,,0.26077526807785034,,
4,39,,,,,1.0,0.23872366547584534
4,39,0.9734513163566589,,0.2531973719596863,,,
5,44,,1.0,,0.1379465013742447,,
5,47,,,,,1.0,0.1682741492986679
5,47,0.9734513163566589,,0.17202822864055634,,,
6,49,,1.0,,0.13526920974254608,,
6,54,,0.9375,,0.12428121268749237,,
6,55,,,,,1.0,0.12353594601154327
6,55,0.9734513163566589,,0.12275274842977524,,,
7,59,,1.0,,0.05161883682012558,,
7,63,,,,,1.0,0.0962209701538086
7,63,0.9734513163566589,,0.09134695678949356,,,
8,64,,0.9375,,0.08414603024721146,,
8,69,,1.0,,0.032201580703258514,,
8,71,,,,,1.0,0.07946319878101349
8,71,0.9734513163566589,,0.07043915241956711,,,
9,74,,0.9375,,0.11410527676343918,,
9,79,,1.0,,0.06178485229611397,,
9,79,,,,,1.0,0.06906872987747192
9,79,0.991150438785553,,0.055756621062755585,,,
10,84,,1.0,,0.0298208799213171,,
10,87,,,,,1.0,0.06237742677330971
10,87,1.0,,0.045085400342941284,,,
11,89,,1.0,,0.030199486762285233,,
11,94,,1.0,,0.04749483987689018,,
11,95,,,,,1.0,0.05786139518022537
11,95,1.0,,0.03695322200655937,,,
12,99,,1.0,,0.013863909058272839,,
12,103,,,,,1.0,0.05469195917248726
12,103,1.0,,0.030591897666454315,,,
13,104,,1.0,,0.02838190458714962,,
13,109,,1.0,,0.012862964533269405,,
13,111,,,,,1.0,0.05223248153924942
13,111,1.0,,0.025575274601578712,,,
14,114,,1.0,,0.0492507703602314,,
14,119,,1.0,,0.027890536934137344,,
14,119,,,,,1.0,0.050147492438554764
14,119,1.0,,0.021613921970129013,,,
15,124,,1.0,,0.012075597420334816,,
15,127,,,,,1.0,0.04831147938966751
15,127,1.0,,0.018469354137778282,,,
16,129,,1.0,,0.01186197530478239,,
16,134,,1.0,,0.018877806141972542,,
16,135,,,,,1.0,0.046692050993442535
16,135,1.0,,0.015933925285935402,,,
17,139,,1.0,,0.006467814091593027,,
17,143,,,,,1.0,0.045290909707546234
17,143,1.0,,0.013888207264244556,,,
18,144,,1.0,,0.012753060087561607,,
18,149,,1.0,,0.006767983548343182,,
18,151,,,,,1.0,0.04423670098185539
18,151,1.0,,0.012199933640658855,,,
19,154,,1.0,,0.025593219324946404,,
19,159,,1.0,,0.01452808640897274,,
19,159,,,,,1.0,0.04325370863080025
19,159,1.0,,0.010774408467113972,,,
20,164,,1.0,,0.006417754106223583,,
20,167,,,,,1.0,0.042469121515750885
20,167,1.0,,0.009576547890901566,,,
21,169,,1.0,,0.0061300694942474365,,
21,174,,1.0,,0.009601838886737823,,
21,175,,,,,1.0,0.041624996811151505
21,175,1.0,,0.008551590144634247,,,
22,179,,1.0,,0.0037051502149552107,,
22,183,,,,,1.0,0.040994420647621155
22,183,1.0,,0.007689669728279114,,,
23,184,,1.0,,0.007178718224167824,,
23,189,,1.0,,0.004113895818591118,,
23,191,,,,,1.0,0.04047632962465286
23,191,1.0,,0.006939287763088942,,,
24,194,,1.0,,0.014881751500070095,,
24,199,,1.0,,0.008785523474216461,,
24,199,,,,,1.0,0.03997865319252014
24,199,1.0,,0.006292574107646942,,,
25,204,,1.0,,0.003948872908949852,,
25,207,,,,,1.0,0.03941452130675316
25,207,1.0,,0.0057410914450883865,,,
26,209,,1.0,,0.0036861193366348743,,
26,214,,1.0,,0.0057545872405171394,,
26,215,,,,,1.0,0.038925863802433014
26,215,1.0,,0.005270291119813919,,,
27,219,,1.0,,0.00238352851010859,,
27,223,,,,,1.0,0.03858184814453125
27,223,1.0,,0.004850577097386122,,,
28,224,,1.0,,0.00463972007855773,,
28,229,,1.0,,0.0027213189750909805,,
28,231,,,,,1.0,0.0383000522851944
28,231,1.0,,0.004471099004149437,,,
29,234,,1.0,,0.009813246317207813,,
29,239,,1.0,,0.005702062509953976,,
29,239,,,,,1.0,0.03797192499041557
29,239,1.0,,0.00413429643958807,,,
30,244,,1.0,,0.002658641431480646,,
30,247,,,,,1.0,0.037643563002347946
30,247,1.0,,0.0038401158526539803,,,
31,249,,1.0,,0.0024476046673953533,,
31,254,,1.0,,0.0038132730405777693,,
31,255,,,,,1.0,0.037429966032505035
31,255,1.0,,0.0035741867031902075,,,
32,259,,1.0,,0.0016741041326895356,,
32,263,,,,,1.0,0.03723790496587753
32,263,1.0,,0.0033281808719038963,,,
33,264,,1.0,,0.00322815147228539,,
33,269,,1.0,,0.001934217638336122,,
33,271,,,,,1.0,0.036957334727048874
33,271,1.0,,0.0031098718754947186,,,
34,274,,1.0,,0.006910368800163269,,
34,279,,1.0,,0.0040394626557827,,
34,279,,,,,1.0,0.036759018898010254
34,279,1.0,,0.0029134785290807486,,,
35,284,,1.0,,0.0019081871723756194,,
35,287,,,,,1.0,0.03656797111034393
35,287,1.0,,0.002732811262831092,,,
36,289,,1.0,,0.0017248002113774419,,
36,294,,1.0,,0.0027110548689961433,,
36,295,,,,,1.0,0.03640076145529747
36,295,1.0,,0.0025688421446830034,,,
37,299,,1.0,,0.0012427023611962795,,
37,303,,,,,1.0,0.03616778925061226
37,303,1.0,,0.0024202994536608458,,,
38,304,,1.0,,0.002385071013122797,,
38,309,,1.0,,0.0014414710458368063,,
38,311,,,,,1.0,0.036028970032930374
38,311,1.0,,0.0022858937736600637,,,
39,314,,1.0,,0.0051109679043293,,
39,319,,1.0,,0.0029944602865725756,,
39,319,,,,,1.0,0.03593787923455238
39,319,1.0,,0.002160228556022048,,,
40,324,,1.0,,0.0014411865267902613,,
40,327,,,,,1.0,0.03579737991094589
40,327,1.0,,0.0020448951981961727,,,
41,329,,1.0,,0.0012826038291677833,,
41,334,,1.0,,0.0020222291350364685,,
41,335,,,,,1.0,0.03564366325736046
41,335,1.0,,0.0019397508585825562,,,
42,339,,1.0,,0.0009628623956814408,,
42,343,,,,,1.0,0.035558104515075684
42,343,1.0,,0.0018420231062918901,,,
43,344,,1.0,,0.0018308268627151847,,
43,349,,1.0,,0.0011204801267012954,,
43,351,,,,,1.0,0.03543877601623535
43,351,1.0,,0.0017513292841613293,,,
44,354,,1.0,,0.003935346379876137,,
44,359,,1.0,,0.0023240242153406143,,
44,359,,,,,1.0,0.03538665175437927
44,359,1.0,,0.0016670881304889917,,,
45,364,,1.0,,0.001130442600697279,,
45,367,,,,,1.0,0.03525211662054062
45,367,1.0,,0.0015881545841693878,,,
46,369,,1.0,,0.000988605315797031,,
