epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,4,,,,0.625,,0.9854111075401306,,
0,7,,,,,,,0.6551724076271057,0.9411648511886597
0,7,,,0.4601770043373108,,1.047694206237793,,,
1,9,,,,0.75,,0.9300938844680786,,
1,14,,,,1.0,,0.7123087048530579,,
1,15,,,,,,,0.931034505367279,0.767609715461731
1,15,,,0.8672566413879395,,0.8394211530685425,,,
2,19,,,,0.9375,,0.7064887881278992,,
2,23,,,,,,,1.0,0.5908262133598328
2,23,,,0.9469026327133179,,0.6478336453437805,,,
3,24,,,,0.9375,,0.5655636191368103,,
3,29,,,,1.0,,0.41905245184898376,,
3,31,,,,,,,1.0,0.42630159854888916
3,31,,,0.9557521939277649,,0.4675178527832031,,,
4,34,,,,1.0,,0.2564539909362793,,
4,39,,,,1.0,,0.09691217541694641,,
4,39,,,,,,,1.0,0.29395315051078796
4,39,,,0.9734513163566589,,0.3174557685852051,,,
5,44,,,,1.0,,0.15599489212036133,,
5,47,,,,,,,1.0,0.20267009735107422
5,47,,,0.982300877571106,,0.20932474732398987,,,
6,49,,,,1.0,,0.2494196891784668,,
6,54,,,,1.0,,0.06041602045297623,,
6,55,,,,,,,1.0,0.14584340155124664
6,55,,,0.991150438785553,,0.14128275215625763,,,
7,59,,,,1.0,,0.14861591160297394,,
7,63,,,,,,,1.0,0.11038798093795776
7,63,,,1.0,,0.10052083432674408,,,
8,64,,,,1.0,,0.10384921729564667,,
8,69,,,,1.0,,0.055824317038059235,,
8,71,,,,,,,1.0,0.0869644433259964
8,71,,,1.0,,0.07517596334218979,,,
9,74,,,,1.0,,0.03162287175655365,,
9,79,,,,1.0,,0.0025826692581176758,,
9,79,,,,,,,1.0,0.07082497328519821
9,79,,,1.0,,0.05846532806754112,,,
10,84,,,,1.0,,0.02937079221010208,,
10,87,,,,,,,1.0,0.059407349675893784
10,87,,,1.0,,0.0468168705701828,,,
11,89,,,,1.0,,0.07014212012290955,,
11,94,,,,1.0,,0.009187135845422745,,
11,95,,,,,,,1.0,0.05106707289814949
11,95,,,1.0,,0.038363292813301086,,,
12,99,,,,1.0,,0.051631152629852295,,
12,103,,,,,,,1.0,0.044753316789865494
12,103,,,1.0,,0.032007843255996704,,,
